dataset,view,feature,n,label_auroc,label_separation_auroc
ASVspoof2019_LA,preemphasized_crop,spectral_flatness,10000,0.12516908,0.87483092
ASVspoof2019_LA,preemphasized_crop,spectral_slope_db_per_khz,10000,0.23483076,0.76516924
ASVspoof2019_LA,preemphasized_crop,low_high_energy_ratio_db,10000,0.72754784,0.72754784
ASVspoof2019_LA,preemphasized_crop,spectral_flux,10000,0.8335797599999999,0.8335797599999999
ASVspoof2019_LA,preemphasized_crop,f0_median_hz,8326,0.46972183711204285,0.5302781628879571
ASVspoof2019_LA,preemphasized_crop,f0_iqr_hz,8326,0.4790671015861178,0.5209328984138821
ASVspoof2019_LA,preemphasized_crop,voiced_fraction,10000,0.6811470199999999,0.6811470199999999
ASVspoof2019_LA,preemphasized_crop,hnr_db,8326,0.5044455241572532,0.5044455241572532
ASVspoof2019_LA,preemphasized_crop,cpp_proxy_db,8326,0.5229752119343573,0.5229752119343573
ASVspoof2019_LA,preemphasized_crop,jitter_proxy,8326,0.434382631046455,0.565617368953545
ASVspoof2019_LA,preemphasized_crop,shimmer_proxy_db,8326,0.5941603285799871,0.5941603285799871
ASVspoof2019_LA,preemphasized_crop,f0_delta_hz,8326,0.4083517542739343,0.5916482457260657
ASVspoof2019_LA,preemphasized_crop,group_delay_var,10000,0.11624891999999999,0.88375108
ASVspoof2019_LA,preemphasized_crop,inst_freq_dispersion,10000,0.44517248,0.55482752
ASVspoof2019_LA,preemphasized_crop,modulation_centroid_hz,10000,0.7444115199999999,0.7444115199999999
ASVspoof2019_LA,preemphasized_crop,modulation_entropy,10000,0.690259,0.690259
