dataset,view,feature,n,label_auroc,label_separation_auroc
ASVspoof2021_DF,preemphasized_crop,spectral_flatness,10000,0.28862403999999997,0.71137596
ASVspoof2021_DF,preemphasized_crop,spectral_slope_db_per_khz,10000,0.34828576,0.65171424
ASVspoof2021_DF,preemphasized_crop,low_high_energy_ratio_db,10000,0.6720006199999999,0.6720006199999999
ASVspoof2021_DF,preemphasized_crop,spectral_flux,10000,0.71297052,0.71297052
ASVspoof2021_DF,preemphasized_crop,f0_median_hz,7728,0.478647171835792,0.521352828164208
ASVspoof2021_DF,preemphasized_crop,f0_iqr_hz,7728,0.5196918839133118,0.5196918839133118
ASVspoof2021_DF,preemphasized_crop,voiced_fraction,10000,0.6246934,0.6246934
ASVspoof2021_DF,preemphasized_crop,hnr_db,7728,0.4598969187452717,0.5401030812547283
ASVspoof2021_DF,preemphasized_crop,cpp_proxy_db,7728,0.48971674779419044,0.5102832522058096
ASVspoof2021_DF,preemphasized_crop,jitter_proxy,7728,0.5333012819051609,0.5333012819051609
ASVspoof2021_DF,preemphasized_crop,shimmer_proxy_db,7728,0.5922273253018382,0.5922273253018382
ASVspoof2021_DF,preemphasized_crop,f0_delta_hz,7728,0.5145553196208107,0.5145553196208107
ASVspoof2021_DF,preemphasized_crop,group_delay_var,10000,0.27803272,0.72196728
ASVspoof2021_DF,preemphasized_crop,inst_freq_dispersion,10000,0.51034788,0.51034788
ASVspoof2021_DF,preemphasized_crop,modulation_centroid_hz,10000,0.6478520000000001,0.6478520000000001
ASVspoof2021_DF,preemphasized_crop,modulation_entropy,10000,0.63709484,0.63709484
