model,item_id,family,template,k,n_steps,n_boundaries,method,control_of,attn_entropy,attn_text_mass,attn_per_occurrence,n_occ_cols,layer,layer_frac,d1,q_hat,r2,n_fit,d_median,n_eff,alpha,log_kf,floor,horizon
llasa1b,ct_blue_t4_k04,control_word,t4,4,265,4,attention,wr_blue_t4_k04,2.2940115928649902,0.0025696754455566406,0.00016379356384277344,4,5,0.3333333333333333,nan,nan,nan,0,0.0,160.57662096680338,0.7913048251493359,2.3844536799918554,1.9094266891479492,inf
llasa1b,ct_blue_t4_k04,control_word,t4,4,265,4,attention,wr_blue_t4_k04,2.2940115928649902,0.0025696754455566406,0.00016379356384277344,4,6,0.4,nan,nan,nan,0,0.0,nan,nan,nan,2.0492557287216187,inf
llasa1b,ct_blue_t4_k04,control_word,t4,4,265,4,attention,wr_blue_t4_k04,2.2940115928649902,0.0025696754455566406,0.00016379356384277344,4,7,0.4666666666666667,nan,nan,nan,0,0.0,nan,nan,nan,2.1699390411376953,inf
llasa1b,ct_blue_t4_k04,control_word,t4,4,265,4,attention,wr_blue_t4_k04,2.2940115928649902,0.0025696754455566406,0.00016379356384277344,4,8,0.5333333333333333,nan,nan,nan,0,0.0,nan,nan,nan,2.3098803758621216,inf
llasa1b,ct_blue_t4_k04,control_word,t4,4,265,4,attention,wr_blue_t4_k04,2.2940115928649902,0.0025696754455566406,0.00016379356384277344,4,9,0.6,nan,nan,nan,0,0.0,nan,nan,nan,2.5550127029418945,inf
llasa1b,ct_blue_t4_k04,control_word,t4,4,265,4,attention,wr_blue_t4_k04,2.2940115928649902,0.0025696754455566406,0.00016379356384277344,4,10,0.6666666666666666,nan,nan,nan,0,0.0,142.52542513823138,0.9149538762765298,2.09376838633024,3.312368392944336,inf
llasa1b,ct_blue_t4_k04,control_word,t4,4,265,4,attention,wr_blue_t4_k04,2.2940115928649902,0.0025696754455566406,0.00016379356384277344,4,11,0.7333333333333333,nan,nan,nan,0,0.0,nan,nan,nan,4.631035089492798,inf
llasa1b,ct_blue_t4_k04,control_word,t4,4,265,4,attention,wr_blue_t4_k04,2.2940115928649902,0.0025696754455566406,0.00016379356384277344,4,12,0.8,nan,nan,nan,0,0.0,nan,nan,nan,7.191515922546387,inf
llasa1b,ct_blue_t4_k04,control_word,t4,4,265,4,attention,wr_blue_t4_k04,2.2940115928649902,0.0025696754455566406,0.00016379356384277344,4,13,0.8666666666666667,nan,nan,nan,0,0.0,nan,nan,nan,12.059901237487793,inf
llasa1b,ct_blue_t4_k04,control_word,t4,4,265,4,attention,wr_blue_t4_k04,2.2940115928649902,0.0025696754455566406,0.00016379356384277344,4,14,0.9333333333333333,nan,nan,nan,0,0.0,nan,nan,nan,18.040839672088623,inf
