model,item_id,family,template,k,n_steps,n_boundaries,method,control_of,attn_text_entropy,attn_text_mass,attn_share,attn_share_max,attn_block_entropy,attn_unif_dev,attn_per_occurrence,n_occ_cols,layer,layer_frac,q_hat,r2,slope,sigma_early,sigma_late,sigma_ratio,q_bnd,r2_bnd,d1,d_median,n_eff,alpha,log_kf,floor,horizon_scale,horizon
llasa1b,ct_blue_t4_k02,control_word,t4,2,2048,2,uniform,wr_blue_t4_k02,2.0985536575317383,0.0006481409072875977,0.5,0.5468600988388062,0.6887490153312683,0.046860069036483765,5.0187110900878906e-05,2,0,0.0,0.39239680681709105,0.525949928691642,-0.23387042222379076,0.373405359685421,0.07436355575919151,0.19914967428919558,nan,nan,nan,nan,72.7714045827653,1.6065709443167326,6.641153670904015,2.381383180618286,1.068968010673769,nan
llasa1b,ct_blue_t4_k02,control_word,t4,2,2048,2,uniform,wr_blue_t4_k02,2.0985536575317383,0.0006481409072875977,0.5,0.5468600988388062,0.6887490153312683,0.046860069036483765,5.0187110900878906e-05,2,1,0.06666666666666667,0.38889189233985305,0.5250918814734884,-0.23611347142776318,0.40197596698999405,0.07900596410036087,0.19654399911507017,nan,nan,nan,nan,nan,nan,nan,3.211490035057068,1.058812944844976,nan
llasa1b,ct_blue_t4_k02,control_word,t4,2,2048,2,uniform,wr_blue_t4_k02,2.0985536575317383,0.0006481409072875977,0.5,0.5468600988388062,0.6887490153312683,0.046860069036483765,5.0187110900878906e-05,2,2,0.13333333333333333,0.3622910424575852,0.564440084979608,-0.2538268513723673,0.41228219866752625,0.0726899765431881,0.17631121784573325,nan,nan,nan,nan,nan,nan,nan,3.6337610483169556,0.9849233784697061,nan
llasa1b,ct_blue_t4_k02,control_word,t4,2,2048,2,uniform,wr_blue_t4_k02,2.0985536575317383,0.0006481409072875977,0.5,0.5468600988388062,0.6887490153312683,0.046860069036483765,5.0187110900878906e-05,2,3,0.2,0.3640869018238966,0.5664823830455636,-0.25259067464127954,0.4495629444718361,0.08046183362603188,0.17897790424111032,nan,nan,nan,nan,nan,nan,nan,4.295841217041016,0.98974358556602,nan
llasa1b,ct_blue_t4_k02,control_word,t4,2,2048,2,uniform,wr_blue_t4_k02,2.0985536575317383,0.0006481409072875977,0.5,0.5468600988388062,0.6887490153312683,0.046860069036483765,5.0187110900878906e-05,2,4,0.26666666666666666,0.3879101552301131,0.5411271914188694,-0.23674538121449773,0.4861172288656235,0.0952322669327259,0.19590391222083345,nan,nan,nan,nan,nan,nan,nan,4.936619520187378,1.0559868104607,nan
llasa1b,ct_blue_t4_k02,control_word,t4,2,2048,2,uniform,wr_blue_t4_k02,2.0985536575317383,0.0006481409072875977,0.5,0.5468600988388062,0.6887490153312683,0.046860069036483765,5.0187110900878906e-05,2,5,0.3333333333333333,0.3598589442652068,0.5806366275326695,-0.2555107864499034,0.4951924681663513,0.088782899081707,0.1792896798500617,nan,nan,nan,nan,97.67148422973165,1.5142393883840448,5.255548236926874,5.507828712463379,0.9784322747134441,nan
llasa1b,ct_blue_t4_k02,control_word,t4,2,2048,2,uniform,wr_blue_t4_k02,2.0985536575317383,0.0006481409072875977,0.5,0.5468600988388062,0.6887490153312683,0.046860069036483765,5.0187110900878906e-05,2,6,0.4,0.3291044192420118,0.6955161191027853,-0.27784504871450005,0.5354300290346146,0.0869305394589901,0.1623564887007303,nan,nan,nan,nan,nan,nan,nan,5.787367105484009,0.8997820949362597,nan
llasa1b,ct_blue_t4_k02,control_word,t4,2,2048,2,uniform,wr_blue_t4_k02,2.0985536575317383,0.0006481409072875977,0.5,0.5468600988388062,0.6887490153312683,0.046860069036483765,5.0187110900878906e-05,2,7,0.4666666666666667,0.4270970801319616,0.584590754065763,-0.2126859844138706,0.47801414132118225,0.11634533479809761,0.24339308137732282,nan,nan,nan,nan,nan,nan,nan,6.4140400886535645,1.1754418171416465,nan
llasa1b,ct_blue_t4_k02,control_word,t4,2,2048,2,uniform,wr_blue_t4_k02,2.0985536575317383,0.0006481409072875977,0.5,0.5468600988388062,0.6887490153312683,0.046860069036483765,5.0187110900878906e-05,2,8,0.5333333333333333,0.4364052086358522,0.5584477390963306,-0.20729602240797723,0.47036051750183105,0.11758791655302048,0.24999529547580004,nan,nan,nan,nan,nan,nan,nan,7.3730387687683105,1.2060048094313045,nan
llasa1b,ct_blue_t4_k02,control_word,t4,2,2048,2,uniform,wr_blue_t4_k02,2.0985536575317383,0.0006481409072875977,0.5,0.5468600988388062,0.6887490153312683,0.046860069036483765,5.0187110900878906e-05,2,9,0.6,0.4457480850361893,0.5679601255700244,-0.20200032957426142,0.4722439795732498,0.12492767721414566,0.26454053967408625,nan,nan,nan,nan,nan,nan,nan,8.817434310913086,1.2376217431273668,nan
