held_out_dataset,train_datasets,n_train,n_test,n_train_bonafide,n_train_spoof,n_test_bonafide,n_test_spoof,raw_feature_count,post_imputation_feature_count,auroc,eer,fit_converged,bootstrap_replicates_requested,bootstrap_replicates_valid,bootstrap_replicates_invalid,bootstrap_confidence,bootstrap_cluster_count,bootstrap_cluster_rule,bootstrap_seed,auroc_ci_low,auroc_ci_high
ASVspoof2019_LA,ASVspoof2021_LA;ASVspoof2021_DF;InTheWild;ASVspoof5,40000,10000,20000,20000,5000,5000,28,36,0.90778528,0.1622,True,500,500,0,0.95,10000,source_id,1425457782,0.9020696863413376,0.9137087332036273
ASVspoof2021_LA,ASVspoof2019_LA;ASVspoof2021_DF;InTheWild;ASVspoof5,40000,10000,20000,20000,5000,5000,28,35,0.8451069600000001,0.2024,True,500,500,0,0.95,10000,source_id,3367401342,0.837788638879144,0.8541250236228999
ASVspoof2021_DF,ASVspoof2019_LA;ASVspoof2021_LA;InTheWild;ASVspoof5,40000,10000,20000,20000,5000,5000,28,36,0.78095708,0.2898,True,500,500,0,0.95,10000,source_id,420192785,0.7718244245238473,0.7896139770104065
InTheWild,ASVspoof2019_LA;ASVspoof2021_LA;ASVspoof2021_DF;ASVspoof5,40000,10000,20000,20000,5000,5000,28,36,0.53458988,0.4522,True,500,500,0,0.95,10000,source_id,4091115173,0.5229418235172206,0.5462652602559117
ASVspoof5,ASVspoof2019_LA;ASVspoof2021_LA;ASVspoof2021_DF;InTheWild,40000,10000,20000,20000,5000,5000,28,36,0.58831984,0.4406,True,500,500,0,0.95,10000,source_id,2164262060,0.5772957785391999,0.5995322205324597
