dataset,model,n_scores_joined,score_orientation,score_revision,dataset_revision
ASVspoof2021_LA,Spectra-AASIST,181566,negated_raw_is_spoof,eb65c2662d9e646d72557b3f4bdd08b000068c7f,dc119733697c946fcd17fe7c1541d7f26b4bbe07
ASVspoof2021_LA,AASIST,181566,negated_raw_is_spoof,16774d458d86d2a021ae31646c1bf66a5331b53e,dc119733697c946fcd17fe7c1541d7f26b4bbe07
ASVspoof2021_LA,Res2TCNGuard,181566,negated_raw_is_spoof,4624265fa5e88c0abe425e37c278f3a9288aa914,dc119733697c946fcd17fe7c1541d7f26b4bbe07
ASVspoof2021_LA,RawTFNet,181566,negated_raw_is_spoof,e557893c73cf341216036eece0eccf6e233a58b7,dc119733697c946fcd17fe7c1541d7f26b4bbe07
ASVspoof2021_LA,WhisperMFCCMesoNet,181566,negated_raw_is_spoof,a7b299a090c5b698977fe246aa47b46d97503be2,dc119733697c946fcd17fe7c1541d7f26b4bbe07
ASVspoof2021_LA,W2V2-AASIST,181566,negated_raw_is_spoof,196128e5a5101d5cb6ac7701597891bc7de7e7b5,dc119733697c946fcd17fe7c1541d7f26b4bbe07
ASVspoof2021_LA,XLSR-SLS,181566,negated_raw_is_spoof,6b99ebc9d9240571c4fe21b364d49845ce9b6bd9,dc119733697c946fcd17fe7c1541d7f26b4bbe07
ASVspoof2021_LA,RawBMamba,181566,negated_raw_is_spoof,b9c01b62db2dcaed4dc36dc410da3721064b89ad,dc119733697c946fcd17fe7c1541d7f26b4bbe07
